ip_address,user_agent
2.56.125.0,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36"""
2.57.8.0,"""Mozilla/5.0 (Linux; Android 13; SM-S901U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.5304.63 Mobile Safari/537.36"""
2.57.132.0,"""Mozilla/5.0 (Linux; U; Android 9; es-BO; Redmi Note 8 Build/PKQ1.190616.001) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/100.0.4896.127 Mobile Safari/537.36 XiaoMi/MiuiBrowser/13.16.0-gn"""
2.57.208.0,"""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.127 Safari/537.36"""
2.58.95.0,"""Mozilla/5.0 (Linux; Android 7.1.2; AEOCH) AppleWebKit/537.36 (KHTML, like Gecko) Silk/104.2.16 like Chrome/104.0.5112.97 Safari/537.36"""
2.58.105.0,"""Mozilla/5.0 (Linux; Android 6.0.1; SM-J500M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.5195.136 Mobile Safari/537.36"""
2.58.216.0,"""Mozilla/5.0 (Linux; U; Android 9; es-VE; Redmi Note 8 Pro Build/PPR1.180610.011) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/71.0.3578.141 Mobile Safari/537.36 XiaoMi/MiuiBrowser/12.7.5-go"""
2.59.10.0,"""Mozilla/5.0 (Linux; Android 12; motorola edge 20 pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5170.203 Mobile Safari/537.36"""
2.59.128.0,"""Mozilla/5.0 (Linux; Android 12; SAMSUNG SM-A725M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/18.0 Chrome/99.0.4844.73 Mobile Safari/537.36"""
2.59.163.0,"""Mozilla/5.0 (X11; CrOS aarch64 15117.112.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.5199.205 Safari/537.36"""
2.59.253.0,"""Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-G960F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/17.0 Chrome/96.0.4664.93 Mobile Safari/537.36"""
3.172.21.0,"""Mozilla/5.0 (Linux; Android 12; V2110) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.34 Mobile Safari/537.36"""
3.172.86.0,"""Mozilla/5.0 (Linux; U; Android 9; es-AR; SM-J415F Build/PPR1.180610.011) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4650.0 Mobile Safari/537.36 PHX/10.7"""
3.174.217.0,"""Mozilla/5.0 (Linux; U; Android 10; fr-FR; POCOPHONE F1 Build/QKQ1.190828.002) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/100.0.4896.60 Mobile Safari/537.36 XiaoMi/MiuiBrowser/13.17.0-gn"""
5.22.204.0,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4476.0 Safari/537.36"""
5.22.220.0,"""Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-G900A) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/17.0 Chrome/96.0.4664.93 Mobile Safari/537.36"""
5.39.1.48,"""Mozilla/5.0 (Linux; Android 5.1.1; SM-J320FN) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.74 Mobile Safari/537.36"""
5.39.11.0,"""Mozilla/5.0 (Linux; Android 12; Nokia G50) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.5249.119 Mobile Safari/537.36"""
5.39.28.140,"""Mozilla/5.0 (Linux; Android 11; Infinix X693) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.114 Mobile Safari/537.36"""
5.39.39.80,"""Mozilla/5.0 (Linux; Android 10; M2010J19SL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5248.169 Mobile Safari/537.36"""
5.39.102.0,"""Mozilla/5.0 (Linux; Android 8.0.0; SM-A520F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.5180.177 Mobile Safari/537.36"""
5.39.110.156,"""Mozilla/5.0 (Linux; Android 7.0; BLADE L7A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.132 Mobile Safari/537.36"""
5.39.126.32,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.5195.79 Safari/537.36 OPR/91.0.4516.78"""
5.57.128.0,"""Mozilla/5.0 (Linux; Android 10; V2024) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.1899.105 Mobile Safari/537.36 OPR/71.2.3718.67195"""
5.57.214.0,"""Mozilla/5.0 (Linux; Android 10; Mi A2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Mobile Safari/537.36"""
5.63.185.0,"""Mozilla/5.0 (Linux; Android 9; MRD-LX3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.111 Mobile Safari/537.36"""
5.83.220.0,"""Mozilla/5.0 (Linux; Android 10; Infinix X657B Build/QP1A.190711.020) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.40 Mobile Safari/537.36"""
5.102.40.0,"""Mozilla/5.0 (Linux; U; Android 11; pt-PT; Redmi Note 8T Build/RKQ1.201004.002) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/100.0.4896.60 Mobile Safari/537.36 XiaoMi/MiuiBrowser/13.15.0-gn"""
5.102.64.0,"""Mozilla/5.0 (Linux; Android 5.1.1; SM-J200M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Mobile Safari/537.36"""
5.104.69.0,"""Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6 Mobile/15E148 Safari/604.1"""
5.104.74.0,"""Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36 Edg/90.0.818.42"""
5.104.248.0,"""Mozilla/5.0 (Linux; Android 11; moto e20 Build/RONS31.267-38-5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.71 Mobile Safari/537.36"""
5.132.146.0,"""Mozilla/5.0 (Linux; Android 8.1.0; DRA-LX3 Build/HUAWEIDRA-LX3; fr-CA) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.116 Mobile Safari/537.36 Puffin/9.4.1.51004AP"""
5.133.8.0,"""Mozilla/5.0 (Linux; Android 8.0.0; PRA-LX3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.111 Mobile Safari/537.36 OPR/71.3.3718.67322"""
5.133.110.0,"""Mozilla/5.0 (Linux; Android 10; COVET_PRO_LITE Build/QP1A.190711.020) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Mobile Safari/537.36"""
5.133.115.0,"""Mozilla/5.0 (Linux; Android 12; moto e22i Build/SOW32.121-15) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.5304.107 Mobile Safari/537.36"""
5.133.248.0,"""Mozilla/5.0 (Linux; U; Android 10; en-US; Redmi 9C Build/QP1A.190711.020) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/100.0.4896.133 Mobile Safari/537.36 XiaoMi/MiuiBrowser/13.14.1-gn"""
5.134.64.0,"""Mozilla/5.0 (Linux; Android 7.0; LG-M250) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5142.217 Mobile Safari/537.36"""
5.134.208.0,"""Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"""
5.135.26.0,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.5304.87 Safari/537.36"""
5.135.37.16,"""Mozilla/5.0 (Linux; U; Android 10; fr-FR; Redmi 8 Build/QKQ1.191014.001) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/100.0.4896.58 Mobile Safari/537.36 XiaoMi/MiuiBrowser/13.18.0-gn"""
5.135.45.0,"""Mozilla/5.0 (Linux; U; Android 10; es-LA; SM-A750GN Build/QP1A.190711.020) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 UCBrowser/12.12.10.1227 Mobile Safari/537.36"""
5.135.75.0,"""Mozilla/5.0 (Linux; Android 12; SM-A135F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.5304.110 Mobile Safari/537.36"""
5.135.90.8,"""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.70 Safari/537.36"""
5.135.96.208,"""Mozilla/5.0 (Linux; Android 11; 6125F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Mobile Safari/537.36"""
5.135.168.224,"""Mozilla/5.0 (Linux; Android 10; Mi 9T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5142.217 Mobile Safari/537.36"""
5.135.197.0,"""Mozilla/5.0 (Linux; Android 12; SM-M526BR) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.5249.114 Mobile Safari/537.36"""
5.135.226.0,"""Mozilla/5.0 (Linux; U; Android 11; fr-CA; Mi 9T Pro Build/RKQ1.200826.002) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/100.0.4896.88 Mobile Safari/537.36 XiaoMi/MiuiBrowser/13.16.1-gn"""
5.135.241.40,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0.2 Safari/605.1.15"""
5.135.247.20,"""Mozilla/5.0 (Linux; Android 12; SM-G973F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.5304.91 Mobile Safari/537.36"""
5.135.253.4,"""Mozilla/5.0 (Linux; U; Android 12; ko-KR; CPH2043 Build/JOP24G) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.81 Mobile Safari/537.36"""
5.149.120.0,"""Mozilla/5.0 (Linux; Android 11; SM-A705MN) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4650.0 Mobile Safari/537.36"""
5.149.160.0,"""Mozilla/5.0 (Linux; U; Android 11; de-DE; Redmi Note 11 Build/RKQ1.211001.001) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/89.0.4389.86 Mobile Safari/537.36 XiaoMi/MiuiBrowser/12.22.0.3-gn"""
5.149.192.0,"""Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.94 Leaddesk/970 (VOIP) Id/#121246417 Safari/537.36"""
5.152.160.0,"""Mozilla/5.0 (Linux; Android 12) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.5180.177 Mobile Safari/537.36"""
5.153.237.0,"""Mozilla/5.0 (Linux; Android 11; Infinix X688B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.5249.114 Safari/537.36"""
5.157.22.0,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.5304.63 Safari/537.36 Edg/107.0.1418.42"""
5.172.184.0,"""Mozilla/5.0 (Linux; Android 10; Lenovo YT-X705F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.5304.91 Safari/537.36"""
5.172.224.0,"""Mozilla/5.0 (Linux; Android 6.0.1; SM-N915G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Mobile Safari/537.36"""
5.181.188.0,"""Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1 OPT/3.3.9"""
5.182.101.0,"""Mozilla/5.0 (Linux; U; Android 10; es-PA; Redmi 9A Build/QP1A.190711.020) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/100.0.4896.88 Mobile Safari/537.36 XiaoMi/MiuiBrowser/13.14.1-gn"""
5.182.140.0,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.5304.87 Safari/537.36 Edg/107.0.1418.35 (MiniCanvas)"""
5.183.162.0,"""Mozilla/5.0 (Linux; U; Android 9; zh-CN; Redmi Note 8 Build/PKQ1.190616.001) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/89.0.4389.105 Mobile Safari/537.36 XiaoMi/MiuiBrowser/13.6.2-go"""
5.183.192.0,"""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"""
5.184.0.0,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/107.0.5304.63 Safari/537.36"""
5.187.33.0,"""Mozilla/5.0 (Linux; Android 10; CORN R10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.40 Mobile Safari/537.36"""
5.187.48.0,"""Mozilla/5.0 (Linux; Android 11; M2010J19CG Build/RKQ1.201004.002) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36 OPX/1.7"""
5.188.108.0,"""Mozilla/5.0 (Linux; U; Android 12; fr-CI; Mi 11 Lite Build/SKQ1.211006.001) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/89.0.4389.90 Mobile Safari/537.36 XiaoMi/MiuiBrowser/13.12.1-gn"""
5.189.221.0,"""Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.5249.92 Safari/537.36 OPR/92.0.0.0 (Edition std-1)"""
5.196.36.82,"""Mozilla/5.0 (Linux; U; Android 11; ar-EG; Redmi Note 8T Build/RKQ1.201004.002) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/100.0.4896.136 Mobile Safari/537.36 XiaoMi/MiuiBrowser/13.15.0-gn"""
5.196.52.0,"""Mozilla/5.0 (Linux; Android 12; M2007J17G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.5199.205 Mobile Safari/537.36"""
5.196.56.0,"""Mozilla/5.0 (Linux; U; Android 11; es-PA; SM-A015M Build/RP1A.200720.012) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.108 UCBrowser/13.4.0.1306 Mobile Safari/537.36"""
5.196.62.28,"""Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G965U) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/18.0 Chrome/99.0.4844.51 Mobile Safari/537.36"""
5.196.133.147,"""Mozilla/5.0 (Linux; Android 11; Nokia G21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.5304.54 Mobile Safari/537.36"""
5.196.153.16,"""Mozilla/5.0 (Linux; U; Android 12; es-VE; POCO F4 GT Build/SKQ1.211006.001) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/89.0.4389.128 Mobile Safari/537.36 XiaoMi/MiuiBrowser/12.16.3.1-gn"""
5.196.159.64,"""Mozilla/5.0 (Linux; U; Android 10; de-DE; Redmi Note 8 Build/QKQ1.200114.002) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/100.0.4896.75 Mobile Safari/537.36 XiaoMi/MiuiBrowser/13.17.0-gn"""
5.196.163.12,"""Mozilla/5.0 (Linux; Android 10; RIGEL Build/QP1A.190711.020) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.50 Safari/537.36"""
5.196.167.0,"""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36"""
5.196.171.128,"""Mozilla/5.0 (Linux; Android 11; SM-A505FN) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.5304.87 Mobile Safari/537.36"""
5.196.175.52,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.5153.168 Safari/537.36"""
5.196.185.220,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) QtWebEngine/5.15.2 Chrome/83.0.4103.24 Safari/537.36"""
5.196.192.64,"""Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.6.96.7 Safari/537.36 Edg/107.0.1418.35"""
5.196.196.16,"""Mozilla/5.0 (Linux; Android 8.0.0; PRA-LX3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Mobile Safari/537.36"""
5.196.198.48,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.5249.168 Safari/537.36 OPR/92.0.0.0 (Edition 360-1)"""
5.196.200.56,"""Mozilla/5.0 (Linux; Android 10; KD50) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.5249.119 Mobile Safari/537.36"""
5.196.204.28,"""Mozilla/5.0 (Linux; U; Android 7.0; en-US; Redmi Note 4 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/100.0.4896.82 Mobile Safari/537.36 XiaoMi/MiuiBrowser/13.14.2-go"""
5.196.216.144,"""Mozilla/5.0 (Linux; Android 9; ZTE 2050) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.5249.126 Mobile Safari/537.36"""
5.196.250.16,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.5249.79 Safari/537.36/XQrwBvwRI2mn"""
5.201.0.0,"""Mozilla/5.0 (Linux; Android 12; SM-A715F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.5249.114 Mobile Safari/537.36"""
5.206.240.0,"""Mozilla/5.0 (iPhone; CPU iPhone OS 12_5_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1 OPT/3.3.8"""
5.226.64.0,"""Mozilla/5.0 (Linux; Android 11; SM-G996B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.5249.0 Mobile Safari/537.36"""
5.252.108.0,"""Mozilla/5.0 (Linux; Android 12; SM-A515F Build/SP1A.210812.016) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.5249.91 Mobile Safari/537.36 OPX/1.7"""
5.252.200.0,"""Mozilla/5.0 (Linux; U; Android 11; es-EC; Redmi 9 Build/RP1A.200720.011) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/100.0.4896.58 Mobile Safari/537.36 XiaoMi/MiuiBrowser/13.14.0-gn"""
5.252.212.0,"""Mozilla/5.0 (Linux; Android 10; ELS-N04) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.122 Mobile Safari/537.36"""
5.252.228.0,"""Mozilla/5.0 (Linux; U; Android 9; ca-ES; Redmi Note 7 Build/PKQ1.180904.001) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/71.0.3578.80 Mobile Safari/537.36 XiaoMi/MiuiBrowser/11.3.7"""
5.253.91.0,"""Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.106.0.0 Leaddesk/970 (VOIP) Id/#255711067 Safari/537.36"""
5.253.120.0,"""Mozilla/5.0 (Linux; Android 11; SM-A202F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.80 Mobile Safari/537.36 OPR/71.3.3718.67322"""
5.253.206.0,"""Mozilla/5.0 (Linux; U; Android 10; he-IL; Mi 9 Lite Build/QKQ1.190828.002) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/100.0.4896.88 Mobile Safari/537.36 XiaoMi/MiuiBrowser/13.17.0-gn"""
5.253.226.0,"""Mozilla/5.0 (Linux; Android 11; RMX2040) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.41 Mobile Safari/537.36"""
5.253.230.0,"""Mozilla/5.0 (Linux; Android 11; Infinix X6512 Build/RP1A.200720.011) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.5249.79 Mobile Safari/537.36"""
8.40.107.0,"""Mozilla/5.0 (Linux; Android 10; SM-A205G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.1899.105 Mobile Safari/537.36"""
13.105.126.0,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.5249.0 Safari/537.36 Herring/94.1.8050.51"""
13.105.164.0,"""Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0.3 Mobile/15E148 DuckDuckGo/7 Safari/605.1.15"""
13.141.68.0,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.1899.105 YaBrowser/22.9.4.863 Yowser/2.5 Safari/537.36"""
13.141.112.0,"""Mozilla/5.0 (BlackBerry; U; BlackBerry 9300; en-GB) AppleWebKit/534.8+ (KHTML, like Gecko) Version/6.0.0.526 Mobile Safari/534.8+"""
13.160.16.0,"""Mozilla/5.0 (Linux; Android 11; SM-A105M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.67 Mobile Safari/537.36"""
13.160.40.0,"""Mozilla/5.0 (X11; CrOS x86_64 14816.99.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.104 Safari/537.36"""
13.227.133.0,"""Mozilla/5.0 (Linux; U; Android 9; es-ES; Redmi 6A Build/PPR1.180610.011) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/89.0.4389.128 Mobile Safari/537.36 XiaoMi/MiuiBrowser/12.21.1-go"""
13.227.145.0,"""Mozilla/5.0 (Linux; Android 8.1.0; SM-J727P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.5195.125 Mobile Safari/537.36"""
13.227.152.0,"""Mozilla/5.0 (Linux; Android 12; M1908C3JGG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Mobile Safari/537.36"""
14.102.224.0,"""Mozilla/5.0 (Linux; Android 8.0.0; WAS-LX1A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5170.203 Mobile Safari/537.36"""
14.137.164.0,"""Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.3 Mobile/15E148 DuckDuckGo/7 Safari/605.1.15"""
15.220.48.0,"""Mozilla/5.0 (Linux; U; Android 12; es-SA; SM-G975U Build/SP1A.210812.016) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.108 UCBrowser/13.4.0.1306 Mobile Safari/537.36"""
15.220.64.0,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.0 Safari/537.36 OPX/1.6"""
16.240.9.0,"""Mozilla/5.0 (Linux; Android 11; Mi 9T Build/RKQ1.200826.002) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.5195.136 Mobile Safari/537.36 OPX/1.6"""
17.66.72.0,"""Mozilla/5.0 (Linux; Android 11; Platinum View2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Mobile Safari/537.36"""
